number_street,suite_apt,city,notes,postal_code,country,entity,id
1745 T Street Southeast,,Washington,DC,20020,USA,,1
6007 Applegate Lane,,Louisville,KY,40219,USA,,2
560 Penstock Drive,,Grass Valley,CA,95945,USA,,3
150 Carter Street,,Manchester,CT,6040,USA,,4
2721 Lindsay Avenue,,Louisville,KY,40206,USA,,5
18 Densmore Drive,,Essex,VT,5452,USA,,6
637 Britannia Drive,,Vallejo,CA,94591,USA,,7
5601 West Crocus Drive,,Glendale,AZ,85306,USA,,8
5403 Illinois Avenue,,Nashville,TN,37209,USA,,9
8821 West Myrtle Avenue,,Glendale,AZ,85305,USA,,10
2203 7th Street Road,,Louisville,KY,40208,USA,,11
6463 Vrain Street,,Arvada,CO,80003,USA,,12
87 Horseshoe Drive,,West Windsor,VT,5037,USA,,13
60 Desousa Drive,,Manchester,CT,6040,USA,,14
4 Old Colony Way,,Yarmouth,MA,2664,USA,,15
314 South 17th Street,,Nashville,TN,37206,USA,,16
1649 Timberridge Court,,Fayetteville,AR,72704,USA,,17
5461 West Shades Valley Drive,,Montgomery,AL,36108,USA,,18
629 Debbie Drive,,Nashville,TN,37076,USA,,19
22572 Toreador Drive,,Salinas,CA,93908,USA,,20
3034 Mica Street,,Fayetteville,AR,72704,USA,,21
3729 East Mission Boulevard,,Fayetteville,AR,72703,USA,,22
5114 Greentree Drive,,Nashville,TN,37211,USA,,23
3466 Southview Avenue,,Montgomery,AL,36111,USA,,24
1513 Cathy Street,,Savannah,GA,31415,USA,,25
600 West 19th Avenue,APT B,Anchorage,AK,99503,USA,,26
1208 Elkader Court North,,Nashville,TN,37013,USA,,27
210 Green Road,,Manchester,CT,6042,USA,,28
49548 Road 200,,O'Neals,CA,93645,USA,,29
81 Seaton Place Northwest,,Washington,DC,20001,USA,,30
1267 Martin Street,#203,Nashville,TN,37203,USA,,31
7431 Candace Way,#1,Louisville,KY,40214,USA,,32
1407 Walden Court,,Crofton,MD,21114,USA,,33
5906 Milton Avenue,,Deale,MD,20751,USA,,34
74 Springfield Street,B,Agawam,MA,1001,USA,,35
2905 Stonebridge Court,,Norman,OK,73071,USA,,36
20930 Todd Valley Road,,Foresthill,CA,95631,USA,,37
5928 West Mauna Loa Lane,,Glendale,AZ,85306,USA,,38
802 Madison Street Northwest,,Washington,DC,20011,USA,,39
2811 Battery Place Northwest,,Washington,DC,20016,USA,,40
210 Lacross Lane,,Westmore,VT,5860,USA,,41
2010 Rising Hill Drive,,Norman,OK,73071,USA,,42
388 East Main Street,,,VT,5753,USA,,43
450 Kinhawk Drive,,Nashville,TN,37211,USA,,44
131 Westerly Street,,Manchester,CT,6042,USA,,45
308 Woodleaf Court,,Glen Burnie,MD,21061,USA,,46
8502 Madrone Avenue,,Louisville,KY,40258,USA,,47
23 Sable Run Lane,,Methuen,MA,1844,USA,,48
716 Waller Road,,Brentwood,TN,37027,USA,,49
416 McIver Street,,Nashville,TN,37211,USA,,50
1508 Massachusetts Avenue Southeast,,Washington,DC,20003,USA,,51
5615 West Villa Maria Drive,,Glendale,AZ,85308,USA,,52
3162 Martin Luther King Junior Boulevard,#2,Fayetteville,AR,72704,USA,,53
5306 Ritchie Highway,,Baltimore,MD,21225,USA,,54
109 Summit Street,,Burlington,VT,5401,USA,,55
816 West 19th Avenue,,Anchorage,AK,99503,USA,,56
172 Alburg Springs Road,,Alburgh,VT,5440,USA,,57
159 Downey Drive,A,Manchester,CT,6040,USA,,58
125 John Street,,Santa Cruz,CA,95060,USA,,59
1101 Lotus Avenue,,Glen Burnie,MD,21061,USA,,60
8376 Albacore Drive,,Pasadena,MD,21122,USA,,61
491 Arabian Way,,Grand Junction,CO,81504,USA,,62
12245 West 71st Place,,Arvada,CO,80004,USA,,63
80 North East Street,#4,Holyoke,MA,1040,USA,,64
4695 East Huntsville Road,,Fayetteville,AR,72701,USA,,65
310 Timrod Road,,Manchester,CT,6040,USA,,66
1364 Capri Drive,,Panama City,FL,32405,USA,,67
132 Laurel Green Court,,Savannah,GA,31419,USA,,68
6657 West Rose Garden Lane,,Glendale,AZ,85308,USA,,69
519 West 75th Avenue,#APT 000003,Anchorage,AK,99518,USA,,70
31353 Santa Elena Way,,Union City,CA,94587,USA,,71
8398 West Denton Lane,,Glendale,AZ,85305,USA,,72
700 Winston Place,,Anchorage,AK,99504,USA,,73
232 Maine Avenue,,Panama City,FL,32401,USA,,74
1 Kempf Drive,,Easton,MA,2375,USA,,75
5811 Crossings Boulevard,,Nashville,TN,37013,USA,,76
5108 Franklin Street,,Savannah,GA,31405,USA,,77
913 Fallview Trail,,Nashville,TN,37211,USA,,78
270 Chrissy's Court,,,VT,5443,USA,,79
130 Old Route 103,,Chester,VT,5143,USA,,80
10826 Pointe Royal Drive,,Bakersfield,CA,93311,USA,,81
74 Ranch Drive,,Montgomery,AL,36109,USA,,82
6601 West Ocotillo Road,,Glendale,AZ,85301,USA,,83
19416 Barclay Road,,Castro Valley,CA,94546,USA,,84
1347 Blackwalnut Court,,Annapolis,MD,21403,USA,,85
1770 Colony Way,,Fayetteville,AR,72704,USA,,86
165 Saint John Street,,Manchester,CT,6040,USA,,87
2409 Research Boulevard,,Fort Collins,CO,80526,USA,,88
1903 Bashford Manor Lane,,Louisville,KY,40218,USA,,89
8315 Surf Drive,,Panama City Beach,FL,32408,USA,,90
3301 Old Muldoon Road,,Anchorage,AK,99504,USA,,91
8800 Cordell Circle,#APT 000003,Anchorage,AK,99502,USA,,92
117 East Cook Avenue,,Anchorage,AK,99501,USA,,93
6231 North 67th Avenue,#241,Glendale,AZ,85301,USA,,94
8505 Waters Avenue,#66,Savannah,GA,31406,USA,,95
7 Underwood Place Northwest,,Washington,DC,20012,USA,,96
21950 Arnold Center Road,,Carson,CA,90810,USA,,97
1427 South Carolina Avenue Southeast,,Washington,DC,20003,USA,,98
1420 Turtleback Trail,,Panama City,FL,32413,USA,,99
6990 Pierson Street,,Arvada,CO,80004,USA,,100
376 North Williams Drive,,Fayetteville,AR,72701,USA,,101
3617 Menlo Court,,Montgomery,AL,36116,USA,,102
711 Parker Street,,East Longmeadow,MA,1028,USA,,103
8521 Crystal Street,,Anchorage,AK,99502,USA,,104
1622 Edgar D Nixon Avenue,,Montgomery,AL,36104,USA,,105
1608 Gales Street Northeast,,Washington,DC,20002,USA,,106
122 East Hayes Street,,Norman,OK,73069,USA,,107
5144 Cattail Court,,Fayetteville,AR,72701,USA,,108
131 Kent Drive,,Manchester,CT,6042,USA,,109
2313 Vegas Avenue,,Castro Valley,CA,94546,USA,,110
5420 Sunset Avenue,,Panama City Beach,FL,32408,USA,,111
242 North Ash Street,,Fruita,CO,81521,USA,,112
38676 Greenwich Circle,,Fremont,CA,94536,USA,,113
2426 East Onyx Trail,#6,Fayetteville,AR,72701,USA,,114
110 Seaton Place Northwest,,Washington,DC,20001,USA,,115
5385 Iris Street,,Arvada,CO,80002,USA,,116
5628 West Tonopah Drive,,Glendale,AZ,85308,USA,,117
65 Bay Drive,,Annapolis,MD,21403,USA,,118
7401 North 61st Drive,,Glendale,AZ,85301,USA,,119
8 Watkins Road,,,VT,5468,USA,,120
2209 June Drive,,Nashville,TN,37214,USA,,121
1840 Nobel Place,,Louisville,KY,40216,USA,,122
2622 Martin Luther King Junior Boulevard,,Fayetteville,AR,72704,USA,,123
4 Glen Circle,,Glen Burnie,MD,21060,USA,,124
7529 West 72nd Avenue,#4,Arvada,CO,80003,USA,,125
10996 Largo Drive,,Savannah,GA,31419,USA,,126
2027 North Shannon Drive,#5,Fayetteville,AR,72703,USA,,127
154 Boca Lagoon Drive,,Panama City Beach,FL,32408,USA,,128
3311 Wiley Post Loop,,Anchorage,AK,99517,USA,,129
5055 West 58th Avenue,,Arvada,CO,80002,USA,,130
3228 Chettenham Drive,,Rancho Cordova,CA,95670,USA,,131
